# x,y  (from matlab_pure_pursuit/path2.mat)
0.479263,-1.378102
0.506912,-1.413139
0.562212,-1.471533
0.599078,-1.518248
0.635945,-1.553285
0.672811,-1.576642
0.718894,-1.600000
0.792627,-1.611679
0.838710,-1.635036
0.894009,-1.646715
0.940092,-1.658394
0.995392,-1.670073
1.050691,-1.681752
1.096774,-1.681752
1.142857,-1.693431
1.188940,-1.693431
1.235023,-1.693431
1.271889,-1.693431
1.308756,-1.693431
1.364055,-1.693431
1.400922,-1.681752
1.437788,-1.670073
1.474654,-1.658394
1.511521,-1.635036
1.548387,-1.611679
1.576037,-1.588321
1.612903,-1.553285
1.631336,-1.518248
1.668203,-1.459854
1.695853,-1.413139
1.723502,-1.354745
1.751152,-1.319708
1.778802,-1.272993
1.797235,-1.237956
1.815668,-1.156204
1.834101,-1.109489
1.843318,-1.086131
1.852535,-1.039416
1.861751,-0.981022
1.870968,-0.922628
1.880184,-0.887591
1.880184,-0.840876
1.880184,-0.782482
1.889401,-0.724088
1.889401,-0.689051
1.889401,-0.654015
1.889401,-0.607299
1.889401,-0.513869
1.889401,-0.502190
1.889401,-0.420438
1.880184,-0.362044
1.870968,-0.315328
1.861751,-0.233577
1.852535,-0.151825
1.834101,-0.058394
1.824885,0.011679
1.806452,0.093431
1.788018,0.186861
1.769585,0.268613
1.751152,0.350365
1.723502,0.432117
1.705069,0.490511
1.677419,0.583942
1.649770,0.677372
1.603687,0.770803
1.557604,0.864234
1.502304,0.945985
1.419355,1.074453
1.345622,1.167883
1.299539,1.226277
1.253456,1.296350
1.216590,1.343066
1.198157,1.378102
1.170507,1.413139
1.142857,1.424818
1.124424,1.436496
1.096774,1.448175
1.078341,1.459854
1.032258,1.483212
0.912442,1.506569
0.764977,1.506569
0.608295,1.506569
0.460829,1.506569
0.331797,1.506569
0.202765,1.506569
0.082949,1.506569
-0.046083,1.506569
-0.129032,1.494891
-0.211982,1.471533
-0.285714,1.459854
-0.377880,1.436496
-0.479263,1.389781
-0.543779,1.354745
-0.608295,1.308029
-0.672811,1.272993
-0.737327,1.226277
-0.801843,1.167883
-0.875576,1.109489
-0.921659,1.062774
-0.986175,0.992701
-1.023041,0.945985
-1.059908,0.887591
-1.087558,0.840876
-1.105991,0.794161
-1.124424,0.747445
-1.133641,0.712409
-1.133641,0.654015
-1.133641,0.572263
-1.133641,0.502190
-1.133641,0.420438
-1.133641,0.338686
-1.133641,0.256934
-1.124424,0.151825
-1.115207,0.081752
-1.105991,0.011679
-1.096774,-0.058394
-1.078341,-0.140146
-1.069124,-0.221898
-1.059908,-0.303650
-1.050691,-0.408759
-1.041475,-0.490511
-1.041475,-0.548905
-1.041475,-0.607299
-1.059908,-0.700730
-1.078341,-0.794161
-1.115207,-0.864234
-1.161290,-0.934307
-1.207373,-1.004380
-1.253456,-1.051095
-1.299539,-1.086131
-1.354839,-1.121168
-1.391705,-1.144526
-1.428571,-1.156204
-1.447005,-1.156204
-1.474654,-1.156204
-1.520737,-1.156204
-1.594470,-1.132847
-1.677419,-1.097810
-1.760369,-1.051095
-1.797235,-1.039416
-1.824885,-1.016058
-1.834101,-0.992701
-1.852535,-0.969343
-1.861751,-0.945985
-1.861751,-0.922628
-1.870968,-0.875912
-1.870968,-0.829197
-1.880184,-0.805839
-1.880184,-0.782482
-1.880184,-0.759124
-1.880184,-0.724088
-1.880184,-0.689051
-1.870968,-0.642336
-1.861751,-0.583942
-1.843318,-0.513869
-1.834101,-0.443796
-1.815668,-0.385401
-1.797235,-0.291971
-1.778802,-0.221898
-1.760369,-0.105109
-1.732719,0.000000
-1.714286,0.093431
-1.695853,0.186861
-1.686636,0.268613
-1.677419,0.338686
-1.677419,0.397080
-1.677419,0.455474
-1.677419,0.537226
-1.686636,0.595620
-1.695853,0.665693
-1.714286,0.724088
-1.723502,0.770803
-1.741935,0.829197
-1.751152,0.864234
-1.760369,0.875912
-1.769585,0.887591
